recovery_order,canonical_key,attempt_number,route_class,requested_url,final_url,http_status,fetch_state,content_type,detected_format,downloaded_bytes,accepted,word_count,title_token_ratio,doi_match,validation_reason
1,doi:10.1046/j.0022-202x.2001.01577.x,1,BEST_OA_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,https://www.jidonline.org/article/S0022202X15414836/pdf,403,HTTP_ERROR,text/html; charset=UTF-8,HTML,5708,False,0,0.0,False,HTTP Error 403: Forbidden
1,doi:10.1046/j.0022-202x.2001.01577.x,2,CONTENT_LINK,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/plain,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/plain,400,HTTP_ERROR,text/xml;charset=UTF-8,XML,159,False,0,0.0,False,HTTP Error 400: Bad Request
1,doi:10.1046/j.0022-202x.2001.01577.x,3,CONTENT_LINK,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/xml,200,FETCHED,text/xml;charset=UTF-8,XML,2039,False,67,1.0,True,words=67;methods=False;results=False;discussion=False;references=0;figures_tables=0;identity=True
1,doi:10.1046/j.0022-202x.2001.01577.x,4,BEST_OA_LANDING,https://doi.org/10.1046/j.0022-202x.2001.01577.x,https://linkinghub.elsevier.com/retrieve/pii/S0022202X15414836,200,FETCHED,text/html;charset=UTF-8,HTML,2692,False,1,0.0,False,words=1;methods=False;results=False;discussion=False;identity=False;access_gate=False
1,doi:10.1046/j.0022-202x.2001.01577.x,5,LOCATION_LANDING,https://pubmed.ncbi.nlm.nih.gov/11886508,https://pubmed.ncbi.nlm.nih.gov/11886508/,200,FETCHED,text/html; charset=utf-8,HTML,128933,False,1140,1.0,True,words=1140;methods=False;results=False;discussion=False;identity=True;access_gate=False
2,doi:10.1364/oe.425401,1,CONTENT_LINK,https://opg.optica.org/viewmedia.cfm?URI=oe-29-16-24695&seq=0,https://opg.optica.org/viewmedia.cfm?URI=oe-29-16-24695&seq=0,202,FETCHED,text/html;charset=UTF-8,HTML,553,False,3,0.0,False,words=3;methods=False;results=False;discussion=False;identity=False;access_gate=False
2,doi:10.1364/oe.425401,2,BEST_OA_LANDING,https://doi.org/10.1364/oe.425401,https://validate.perfdrive.com/?ssa=4951424e-7847-d062-09f6-89369a0e1d70&ssb=29489202631&ssc=https%3A%2F%2Fopg.optica.org%2Fabstract.cfm%3FURI%3Doe-29-16-24695&ssi=8682ec98-d3hy-4c08-8aef-c2aea545e7ab&ssk=botmanager_support@radware.com&ssm=62101331886749439106675069071245&ssn=9455060066e335234d091d61d8d086a438b4f41cb27a-e639-3599-bda2d5&sso=d371199-b7ba-3e4f36c5a488942d5b1b28e582845f06fcc7ab090111197c&ssp=47451409911784057122178408021488909&ssq=61183320536927931143305369104344497075174&ssr=MjQuNC43Ni4xNDA=&sst=Mozilla%2F5.0%20%28compatible%3B%20TrueColor%20scientific-source%20recovery%2F1.0%29&ssv=&ssw=,200,FETCHED,text/html; charset=UTF-8,HTML,15057,False,116,0.0,False,words=116;methods=False;results=False;discussion=False;identity=False;access_gate=False
2,doi:10.1364/oe.425401,3,LOCATION_LANDING,https://hdl.handle.net/11250/2826144,https://nva.sikt.no/registration/0198cc7cb8e7-29313cce-cabd-4d91-8379-42012c17cbf9,200,FETCHED,text/html,HTML,2943,False,9,0.0,False,words=9;methods=False;results=False;discussion=False;identity=False;access_gate=True
2,doi:10.1364/oe.425401,4,LOCATION_LANDING,https://pubmed.ncbi.nlm.nih.gov/34614820,https://pubmed.ncbi.nlm.nih.gov/34614820/,200,FETCHED,text/html; charset=utf-8,HTML,96420,False,903,1.0,True,words=903;methods=False;results=False;discussion=False;identity=True;access_gate=False
3,doi:10.1111/jdv.17076,1,EUROPE_PMC_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,404,HTTP_ERROR,,UNKNOWN,0,False,0,0.0,False,HTTP Error 404: Not Found
