recovery_order,acquisition_order,unique_review_order,canonical_key,doi,title,current_state,route_order,route_source,route_class,url,host,content_type,version,license,is_oa,source_name
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,1,OPENALEX,BEST_OA_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,www.jidonline.org,,publishedVersion,,True,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,2,OPENALEX_LOCATION_1,LOCATION_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,www.jidonline.org,,publishedVersion,,True,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,3,CROSSREF_LINK_2,CONTENT_LINK,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/plain,api.elsevier.com,text/plain,vor,,,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,4,CROSSREF_LINK_1,CONTENT_LINK,https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/xml,api.elsevier.com,text/xml,vor,,,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,5,OPENALEX,BEST_OA_LANDING,https://doi.org/10.1046/j.0022-202x.2001.01577.x,doi.org,,publishedVersion,,True,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,6,OPENALEX_LOCATION_1,LOCATION_LANDING,https://doi.org/10.1046/j.0022-202x.2001.01577.x,doi.org,,publishedVersion,,True,Journal of Investigative Dermatology
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,7,OPENALEX_LOCATION_2,LOCATION_LANDING,https://pubmed.ncbi.nlm.nih.gov/11886508,pubmed.ncbi.nlm.nih.gov,,publishedVersion,,False,PubMed
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,8,CROSSREF,PUBLISHER_LANDING,https://doi.org/10.1046/j.0022-202x.2001.01577.x,doi.org,,,,,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,9,CANONICAL_QUEUE,SELECTED_SOURCE_URL,http://www.jidonline.org/article/S0022202X15414836/pdf,www.jidonline.org,,,,,
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",ABSTRACT_OR_PREVIEW_ONLY,10,CANONICAL_QUEUE,EXISTING_LOCAL_SOURCE,analysis/prior_art/ingestion/scientific_sources/paper-002/source.html,,,,,,
